StringID		Type		X		Y		Demand		ServiceBy
D0		d		22.5		29.2		0.0		-
C1		c		25.0		9.8		1.71		D/T
C2		c		26.4		-35.5		2.88		D/T
C3		c		12.1		-21.3		1.56		D/T
C4		c		-15.7		-7.5		4.83		D/T
C5		c		12.6		-32.4		1.72		D/T
C6		c		24.8		39.4		4.52		D/T
C7		c		-8.1		22.0		1.86		D/T
C8		c		-7.6		14.3		1.22		D/T
C9		c		4.1		35.4		4.78		D/T
C10		c		34.4		36.1		3.11		D/T
C11		c		9.3		-25.0		1.38		D/T
C12		c		-20.6		-20.3		3.0		D/T
C13		c		27.3		7.2		25.8		T
C14		c		-38.0		5.7		84.65		T
C15		c		-0.5		-30.4		17.52		T
C16		c		29.0		33.9		94.59		T
C17		c		-32.2		21.8		68.63		T
C18		c		22.4		19.2		35.93		T
C19		c		-2.2		6.9		69.42		T
C20		c		-38.1		-8.8		6.06		T
C21		c		-21.0		-12.9		92.51		T
C22		c		10.9		31.7		58.49		T
C23		c		-0.2		6.3		13.29		T
C24		c		-13.7		-32.9		75.07		T
C25		c		39.9		-31.7		53.77		T
C26		c		-24.6		34.0		78.3		T
C27		c		-15.2		23.9		35.37		T
C28		c		15.0		1.6		47.05		T
C29		c		-21.0		8.3		30.9		T
C30		c		-0.8		-33.7		74.95		T
