StringID		Type		X		Y		Demand		ServiceBy
D0		d		3.7		-7.6		0.0		-
C1		c		-15.5		-4.2		3.13		D/T
C2		c		-5.1		2.4		4.12		D/T
C3		c		8.6		-15.1		3.43		D/T
C4		c		-0.9		17.3		4.6		D/T
C5		c		-4.1		-19.4		1.57		D/T
C6		c		-8.7		-10.4		3.75		D/T
C7		c		13.9		-10.9		1.46		D/T
C8		c		-15.7		16.6		3.88		D/T
C9		c		-13.5		-9.4		1.69		D/T
C10		c		0.4		-13.2		4.76		D/T
C11		c		14.4		18.0		1.44		D/T
C12		c		-13.6		1.1		1.94		D/T
C13		c		0.7		6.5		2.45		D/T
C14		c		18.2		-10.1		4.83		D/T
C15		c		-10.5		17.2		4.41		D/T
C16		c		9.0		18.6		2.46		D/T
C17		c		8.1		2.8		4.25		D/T
C18		c		-18.4		16.1		3.05		D/T
C19		c		1.3		-10.0		3.12		D/T
C20		c		10.2		-3.7		0.92		D/T
C21		c		18.5		-6.1		1.97		D/T
C22		c		15.3		-10.9		3.59		D/T
C23		c		4.2		10.0		1.7		D/T
C24		c		0.6		10.4		3.02		D/T
C25		c		2.1		-2.4		2.83		D/T
C26		c		-17.3		-6.9		2.06		D/T
C27		c		-8.0		5.5		2.1		D/T
C28		c		-16.8		-8.1		0.61		D/T
C29		c		-9.4		17.2		1.64		D/T
C30		c		-8.3		0.9		2.84		D/T
C31		c		3.9		-0.8		4.18		D/T
C32		c		7.2		-11.7		2.83		D/T
C33		c		18.6		-12.8		4.15		D/T
C34		c		-15.6		-7.6		1.42		D/T
C35		c		-0.0		0.7		3.26		D/T
C36		c		-6.2		-9.5		3.38		D/T
C37		c		-4.7		-3.0		3.63		D/T
C38		c		-3.7		-12.0		1.25		D/T
C39		c		18.4		8.4		2.66		D/T
C40		c		4.4		-6.4		4.46		D/T
C41		c		19.0		-11.7		2.26		D/T
C42		c		19.2		-0.6		3.04		D/T
C43		c		10.0		-9.4		4.45		D/T
C44		c		11.1		19.3		3.33		D/T
C45		c		-18.5		11.6		4.14		D/T
C46		c		-6.1		-19.4		2.41		D/T
C47		c		5.9		14.0		0.95		D/T
C48		c		3.6		14.3		2.01		D/T
C49		c		-18.0		9.8		4.73		D/T
C50		c		-4.8		13.0		3.21		D/T
C51		c		13.4		-19.0		4.41		D/T
C52		c		19.9		-0.5		2.18		D/T
C53		c		3.1		9.7		1.9		D/T
C54		c		-16.9		13.2		2.27		D/T
C55		c		-3.5		-5.2		2.73		D/T
C56		c		-1.5		-1.4		1.41		D/T
C57		c		-6.7		13.6		3.69		D/T
C58		c		-9.6		-1.5		2.31		D/T
C59		c		-1.2		-8.4		0.78		D/T
C60		c		19.9		10.2		2.45		D/T
C61		c		6.6		19.2		3.58		D/T
C62		c		-0.2		11.9		1.52		D/T
C63		c		3.7		2.1		3.29		D/T
C64		c		-15.4		19.7		0.81		D/T
C65		c		15.7		-0.5		0.88		D/T
C66		c		-18.3		-1.8		1.84		D/T
C67		c		-5.5		15.0		2.92		D/T
C68		c		-15.6		-17.5		2.69		D/T
C69		c		18.7		16.8		3.46		D/T
C70		c		-17.2		10.6		3.52		D/T
C71		c		4.0		-2.3		3.5		D/T
C72		c		-19.4		-18.9		4.29		D/T
C73		c		18.8		-18.8		2.32		D/T
C74		c		4.7		17.6		2.76		D/T
C75		c		19.8		7.4		3.41		D/T
C76		c		-2.2		14.9		1.7		D/T
C77		c		19.8		4.5		0.51		D/T
C78		c		0.9		16.7		2.76		D/T
C79		c		6.9		-4.6		4.45		D/T
C80		c		14.4		6.4		3.11		D/T
C81		c		8.9		9.2		6.33		T
C82		c		-12.4		-5.8		93.63		T
C83		c		-17.0		3.6		75.07		T
C84		c		-16.9		9.4		46.64		T
C85		c		2.7		-0.4		39.56		T
C86		c		13.1		3.9		35.49		T
C87		c		-9.2		-6.7		74.32		T
C88		c		-11.9		4.6		5.57		T
C89		c		11.4		-17.5		14.81		T
C90		c		0.2		-2.6		9.46		T
C91		c		-10.5		-18.4		69.36		T
C92		c		-8.8		-19.1		35.72		T
C93		c		6.3		-7.7		7.93		T
C94		c		-5.8		2.3		48.85		T
C95		c		7.7		-13.7		78.96		T
C96		c		-0.5		5.4		30.0		T
C97		c		1.4		-15.7		40.06		T
C98		c		-4.7		6.2		25.45		T
C99		c		4.5		13.2		32.78		T
C100		c		-11.6		-18.0		16.5		T
C101		c		14.5		16.7		18.51		T
C102		c		6.2		13.5		45.45		T
